RepRapFirmware height map file v2 generated at 2022-03-18 11:37, min error -0.257, max error 0.368, mean 0.069, deviation 0.171
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
10.00,290.00,20.00,180.00,-1.00,40.00,40.00,8,5
  0.081, -0.007, -0.079, -0.154, -0.206, -0.235, -0.257, -0.224
  0.117,  0.046, -0.016, -0.064, -0.104, -0.126, -0.129, -0.090
  0.161,  0.102,  0.058,  0.042,  0.002, -0.009,  0.006,  0.064
  0.241,  0.194,  0.161,  0.145,  0.132,  0.132,  0.155,  0.217
  0.349,  0.304,  0.279,  0.272,  0.271,  0.278,  0.299,  0.368
